"Transcript_ID","Locus_ID","Description","RAP.DB.Gene.Symbol.Synonym.s.","RAP.DB.Gene.Name.Synonym.s.","CGSNL.Gene.Symbol","CGSNL.Gene.Name","Oryzabase.Gene.Symbol.Synonym.s.","Oryzabase.Gene.Name.Synonym.s.","GO","InterPro","Transcript.evidence","ORF.evidence","Curation.Date","Literature.PMID","FLcDNA.clone.ID","Oryzabase.Trait.Gene.ID","A.thaliana_gene_id","Reciprocal_flag","Type","Short_description","Curator_summary","Computational_description","gene.alias","Note","symbol","Alias","full_name","computational_description","Dbxref","locus_type","curator_summary","description","nochangenat.description","NormalizationGroup"
"Os08t0546800-01","Os08g0546800","Similar to Heat stress transcription factor B-2b.","-","-","HSFB2B","HEAT STRESS TRANSCRIPTION FACTOR B2B","HSfB2b, OsHsfB2b, OsHsf-21, rHsf2, HSF2, HSF21","Heat stress transcription factor B2b, Heat stress transcription factor B-2b, Heat stress transcription factor 21, Heat stress transcription factor 2","Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Cellular Component: nucleus (GO:0005634), Molecular Function: sequence-specific DNA binding transcription factor activity (GO:0003700), Molecular Function: sequence-specific DNA binding (GO:0043565)","Heat shock factor (HSF)-type, DNA-binding (IPR000232), Winged helix-turn-helix transcription repressor DNA-binding (IPR011991)","AK101700 (DDBJ, Best hit)","Q6Z9C8 (UniProt)","-","-","J033060E19","8562","AT4G11660.1","1","protein_coding","winged-helix DNA-binding transcription factor family protein","member of Heat Stress Transcription Factor (Hsf) family","""AT-HSFB2B; FUNCTIONS IN: transcription repressor activity, sequence-specific DNA binding transcription factor activity; INVOLVED IN: response to chitin; LOCATED IN: nucleus; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Winged helix-turn-helix transcription repressor DNA-binding (InterPro:IPR011991), Heat shock factor (HSF)-type, DNA-binding (InterPro:IPR000232); BEST Arabidopsis thaliana protein match is: heat shock transcription factor  B2A (TAIR:AT5G62020.1)""","""AT-HSFB2B,HSF7,HSFB2B""","winged-helix DNA-binding transcription factor family protein","AT-HSFB2B","-","-","AT-HSFB2B%3B FUNCTIONS IN: transcription repressor activity%2C sequence-specific DNA binding transcription factor activity%3B INVOLVED IN: response to chitin%3B LOCATED IN: nucleus%3B EXPRESSED IN: 24 plant structures%3B EXPRESSED DURING: 14 growth stages%3B CONTAINS InterPro DOMAIN/s: Winged helix-turn-helix transcription repressor DNA-binding (InterPro:IPR011991)%2C Heat shock factor (HSF)-type%2C DNA-binding (InterPro:IPR000232)%3B BEST Arabidopsis thaliana protein match is: heat shock transcription factor  B2A (TAIR:AT5G62020.1)%3B Has 32476 Blast hits to 10764 proteins in 847 species: Archae - 36%3B Bacteria - 10454%3B Metazoa - 9035%3B Fungi - 1651%3B Plants - 6330%3B Viruses - 666%3B Other Eukaryotes - 4304 (source: NCBI BLink).","""PMID:11118137,PMID:14655047,PMID:16183842,PMID:17085506,PMID:17722694,PMID:18783601,PMID:19529832,PMID:19945192,PMID:21908690,PMID:22571635,PMID:24377444,locus:2139792""","protein_coding","member of Heat Stress Transcription Factor (Hsf) family","-","-","data"
"Os09t0451500-01","Os09g0451500","Similar to protein disulfide isomerase.","-","-","-","-","PDIL2;3, PDIL2-3, PDIL 2-3, OsPDIL2-3, PDIL 2-3","PROTEIN DISULFIDE ISOMERASE-LIKE 2;3, protein disulfide-isomerase 2-3, protein disulfide isomerase 2-3, PDI-like protein 2-3","Biological Process: glycerol ether metabolic process (GO:0006662), Biological Process: cell redox homeostasis (GO:0045454), Molecular Function: electron carrier activity (GO:0009055), Molecular Function: protein disulfide oxidoreductase activity (GO:0015035), Molecular Function: isomerase activity (GO:0016853)","Thioredoxin (IPR005746), Disulphide isomerase (IPR005788), Thioredoxin-like fold (IPR012336), Thioredoxin domain (IPR013766), Thioredoxin, conserved site (IPR017937)","AK072941 (DDBJ, Best hit)","Q67UF5 (UniProt)","-","-","J023150F04","9282","AT1G04980.1","2","protein_coding","PDI-like 2-2","""Encodes a protein disulfide isomerase-like (PDIL) protein, a member of a multigene family within the thioredoxin (TRX) superfamily. Transcript levels for this gene are up-regulated in response to three different chemical inducers of ER stress (dithiothreitol, beta-mercaptoethanol, and tunicamycin). AtIRE1-2 does not appear to be required for this response, but the atbzip60 mutant has a diminished response.""","""PDI-like 2-2 (PDIL2-2); CONTAINS InterPro DOMAIN/s: Thioredoxin fold (InterPro:IPR012335), Disulphide isomerase (InterPro:IPR005788), Thioredoxin domain (InterPro:IPR013766), Thioredoxin, conserved site (InterPro:IPR017937), Thioredoxin-like subdomain (InterPro:IPR006662), Thioredoxin-like (InterPro:IPR017936), Thioredoxin-like fold (InterPro:IPR012336); BEST Arabidopsis thaliana protein match is: PDI-like 2-3 (TAIR:AT2G32920.1)""","""ATPDI10,ATPDIL2-2,PDI10,PDIL2-2""","PDI-like 2-2","PDIL2-2","""ATPDI10,ARABIDOPSIS THALIANA PROTEIN DISULFIDE ISOMERASE 10,ATPDIL2-2,PDI-like 2-2,PDI10,PROTEIN DISULFIDE ISOMERASE""","PDI-like 2-2","PDI-like 2-2 (PDIL2-2)%3B CONTAINS InterPro DOMAIN/s: Thioredoxin fold (InterPro:IPR012335)%2C Disulphide isomerase (InterPro:IPR005788)%2C Thioredoxin domain (InterPro:IPR013766)%2C Thioredoxin%2C conserved site (InterPro:IPR017937)%2C Thioredoxin-like subdomain (InterPro:IPR006662)%2C Thioredoxin-like (InterPro:IPR017936)%2C Thioredoxin-like fold (InterPro:IPR012336)%3B BEST Arabidopsis thaliana protein match is: PDI-like 2-3 (TAIR:AT2G32920.1)%3B Has 36254 Blast hits to 18629 proteins in 2906 species: Archae - 392%3B Bacteria - 18066%3B Metazoa - 5792%3B Fungi - 2053%3B Plants - 2624%3B Viruses - 46%3B Other Eukaryotes - 7281 (source: NCBI BLink).","""PMID:15047901,PMID:15684019,PMID:16287169,PMID:18574595,PMID:18650403,PMID:20736450,PMID:21277284,PMID:21909944,locus:2010577""","protein_coding","Encodes a protein disulfide isomerase-like (PDIL) protein%2C a member of a multigene family within the thioredoxin (TRX) superfamily. Transcript levels for this gene are up-regulated in response to three different chemical inducers of ER stress (dithiothreitol%2C beta-mercaptoethanol%2C and tunicamycin). AtIRE1-2 does not appear to be required for this response%2C but the atbzip60 mutant has a diminished response.","-","-","data"
"Os09t0491756-01","Os09g0491756","U2 snRNP auxiliary factor, small subunit.","-","-","C3H60","ZINC FINGER CCCH DOMAIN-CONTAINING PROTEIN 60","OsC3H60, U2AF35a, U2AF35A, OsU2AF35a","Splicing factor U2af small subunit A, U2 snRNP auxiliary factor small subunit A, U2 auxiliary factor 35 kDa subunit A, Zinc finger CCCH domain-containing protein 60, ""U2 snRNP auxiliary factor, small subunit"", U2 small nuclear ribonucleoprotein auxiliary factor small subunit A, U2 Small Nuclear Ribonucleoprotein Auxiliary Factor U2AF Subunit 35a","Cellular Component: nucleus (GO:0005634), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: RNA binding (GO:0003723), Molecular Function: zinc ion binding (GO:0008270)","RNA recognition motif domain (IPR000504), Zinc finger, CCCH-type (IPR000571), RNA recognition motif domain, eukaryote (IPR003954), U2 auxiliary factor small subunit (IPR009145), Nucleotide-binding, alpha-beta plait (IPR012677)","AK099481 (DDBJ, Best hit)","Q9ZQW8-2 (UniProt)","-","-","J013025G09","8627","AT1G27650.1","1","protein_coding","""U2 snRNP auxiliary factor small subunit, putative""","""U2 auxiliary factor small subunit. The atU2AF35a protein and its homolog, atU2AF35b, contain most of the conserved domains of hsU2AF35, including the psiRRM, one RS domain, two zinc fingers, and the two regions for interacting with U2AF large subunit. Both proteins lack the stretch of glycines present in human U2AF35. The sequences are overall 83% identical, and each Arabidopsis homolog shows approximately 70% similarity to hsU2AF35.    U2AF(35) homologs were also identified from maize, rice and other plants with large-scale EST projects. Both genes are expressed in all major tissues, with atU2AF(35)a expressed at a higher level than atU2AF(35)b in most tissues. The expression patterns were different in roots: atU2AF(35)b expressed strongly in whole young roots and root tips and atU2AF(35)a limited to root vascular regions.""","""ATU2AF35A; FUNCTIONS IN: RNA binding, zinc ion binding, nucleotide binding, nucleic acid binding; INVOLVED IN: photoperiodism, flowering; LOCATED IN: nucleus; EXPRESSED IN: 26 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Zinc finger, CCCH-type (InterPro:IPR000571), RNA recognition motif, RNP-1 (InterPro:IPR000504), Nucleotide-binding, alpha-beta plait (InterPro:IPR012677), RNA recognition, domain 1 (InterPro:IPR003954), U2 auxiliary factor small subunit (InterPro:IPR009145); BEST Arabidopsis thaliana protein match is: Zinc finger C-x8-C-x5-C-x3-H type family protein (TAIR:AT5G42820.1)""","ATU2AF35A","U2 snRNP auxiliary factor small subunit","ATU2AF35A","-","-","ATU2AF35A%3B FUNCTIONS IN: RNA binding%2C zinc ion binding%2C nucleotide binding%2C nucleic acid binding%3B INVOLVED IN: photoperiodism%2C flowering%3B LOCATED IN: nucleus%3B EXPRESSED IN: 26 plant structures%3B EXPRESSED DURING: 14 growth stages%3B CONTAINS InterPro DOMAIN/s: Zinc finger%2C CCCH-type (InterPro:IPR000571)%2C RNA recognition motif%2C RNP-1 (InterPro:IPR000504)%2C Nucleotide-binding%2C alpha-beta plait (InterPro:IPR012677)%2C RNA recognition%2C domain 1 (InterPro:IPR003954)%2C U2 auxiliary factor small subunit (InterPro:IPR009145)%3B BEST Arabidopsis thaliana protein match is: Zinc finger C-x8-C-x5-C-x3-H type family protein (TAIR:AT5G42820.1)%3B Has 5134 Blast hits to 4149 proteins in 301 species: Archae - 0%3B Bacteria - 77%3B Metazoa - 3143%3B Fungi - 618%3B Plants - 577%3B Viruses - 15%3B Other Eukaryotes - 704 (source: NCBI BLink).","""PMID:16407443,PMID:16500995,PMID:18221561,locus:2196929""","protein_coding","U2 auxiliary factor small subunit. The atU2AF35a protein and its homolog%2C atU2AF35b%2C contain most of the conserved domains of hsU2AF35%2C including the psiRRM%2C one RS domain%2C two zinc fingers%2C and the two regions for interacting with U2AF large subunit. Both proteins lack the stretch of glycines present in human U2AF35. The sequences are overall 83%25 identical%2C and each Arabidopsis homolog shows approximately 70%25 similarity to hsU2AF35.    U2AF(35) homologs were also identified from maize%2C rice and other plants with large-scale EST projects. Both genes are expressed in all major tissues%2C with atU2AF(35)a expressed at a higher level than atU2AF(35)b in most tissues. The expression patterns were different in roots: atU2AF(35)b expressed strongly in whole young roots and root tips and atU2AF(35)a limited to root vascular regions.","-","-","data"
"Os09t0526600-02","Os09g0526600","Similar to Heat shock factor protein 3 (HSF 3) (Heat shock transcription factor 3) (HSTF 3).","-","-","HSFB2C","HEAT STRESS TRANSCRIPTION FACTOR B2C","HSfB2c, OsHsfB2c, OsHsf-24, HSF24, OsHSF24","Heat stress transcription factor B2c, Heat stress transcription factor B-2c, Heat stress transcription factor 24","Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Cellular Component: nucleus (GO:0005634), Molecular Function: sequence-specific DNA binding transcription factor activity (GO:0003700), Molecular Function: sequence-specific DNA binding (GO:0043565)","Heat shock factor (HSF)-type, DNA-binding (IPR000232), Winged helix-turn-helix transcription repressor DNA-binding (IPR011991)","AK106545 (DDBJ, Best hit)","Q652B0 (UniProt)","-","-","002-108-F03","8563","AT4G11660.1","1","protein_coding","winged-helix DNA-binding transcription factor family protein","member of Heat Stress Transcription Factor (Hsf) family","""AT-HSFB2B; FUNCTIONS IN: transcription repressor activity, sequence-specific DNA binding transcription factor activity; INVOLVED IN: response to chitin; LOCATED IN: nucleus; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Winged helix-turn-helix transcription repressor DNA-binding (InterPro:IPR011991), Heat shock factor (HSF)-type, DNA-binding (InterPro:IPR000232); BEST Arabidopsis thaliana protein match is: heat shock transcription factor  B2A (TAIR:AT5G62020.1)""","""AT-HSFB2B,HSF7,HSFB2B""","winged-helix DNA-binding transcription factor family protein","AT-HSFB2B","-","-","AT-HSFB2B%3B FUNCTIONS IN: transcription repressor activity%2C sequence-specific DNA binding transcription factor activity%3B INVOLVED IN: response to chitin%3B LOCATED IN: nucleus%3B EXPRESSED IN: 24 plant structures%3B EXPRESSED DURING: 14 growth stages%3B CONTAINS InterPro DOMAIN/s: Winged helix-turn-helix transcription repressor DNA-binding (InterPro:IPR011991)%2C Heat shock factor (HSF)-type%2C DNA-binding (InterPro:IPR000232)%3B BEST Arabidopsis thaliana protein match is: heat shock transcription factor  B2A (TAIR:AT5G62020.1)%3B Has 32476 Blast hits to 10764 proteins in 847 species: Archae - 36%3B Bacteria - 10454%3B Metazoa - 9035%3B Fungi - 1651%3B Plants - 6330%3B Viruses - 666%3B Other Eukaryotes - 4304 (source: NCBI BLink).","""PMID:11118137,PMID:14655047,PMID:16183842,PMID:17085506,PMID:17722694,PMID:18783601,PMID:19529832,PMID:19945192,PMID:21908690,PMID:22571635,PMID:24377444,locus:2139792""","protein_coding","member of Heat Stress Transcription Factor (Hsf) family","-","-","data"
"Os10t0500700-01","Os10g0500700","Glutaredoxin, Drought stress response","OsGRXS17","Glutaredoxin 17","GRX22","GLUTAREDOXIN 22","OsGRX22","glutaredoxin 22","Biological Process: cell redox homeostasis (GO:0045454), Molecular Function: electron carrier activity (GO:0009055), Molecular Function: protein disulfide oxidoreductase activity (GO:0015035)","Thioredoxin-like superfamily (IPR036249), Monothiol glutaredoxin-related (IPR004480), Thioredoxin domain (IPR013766), Glutaredoxin (IPR002109), Glutaredoxin, PICOT-like (IPR033658)","AK059628, AK067982","Q0IWL9","-","29162892","001-030-H12, J013121J12","13583","AT4G04950.1","2","protein_coding","thioredoxin family protein","""Encodes a monothiol glutaredoxin that is a critical component involved in ROS accumulation, auxin signaling, and temperature-dependent postembryonic growth in plants.  It has been shown to associate with the cytosolic Fe-S assembly (CIA) complex and contributes to, but is not essential for, the correct functioning of client Fe-S proteins in unchallenged conditions.""","""thioredoxin family protein; FUNCTIONS IN: electron carrier activity, protein disulfide oxidoreductase activity; INVOLVED IN: cell redox homeostasis; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Thioredoxin fold (InterPro:IPR012335), Glutaredoxin (InterPro:IPR002109), Thioredoxin-like (InterPro:IPR017936), Thioredoxin domain (InterPro:IPR013766), Thioredoxin-like fold (InterPro:IPR012336), Glutaredoxin-related protein (InterPro:IPR004480); BEST Arabidopsis thaliana protein match is: Thioredoxin superfamily protein (TAIR:AT4G32580.1)""","""AtGRXS17,GRXS17""","thioredoxin family protein","GRXS17","""AtGRXS17,Arabidopsis thaliana monothiol glutaredoxin 17""","monothiol glutaredoxin 17","thioredoxin family protein%3B FUNCTIONS IN: electron carrier activity%2C protein disulfide oxidoreductase activity%3B INVOLVED IN: cell redox homeostasis%3B EXPRESSED IN: 23 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: Thioredoxin fold (InterPro:IPR012335)%2C Glutaredoxin (InterPro:IPR002109)%2C Thioredoxin-like (InterPro:IPR017936)%2C Thioredoxin domain (InterPro:IPR013766)%2C Thioredoxin-like fold (InterPro:IPR012336)%2C Glutaredoxin-related protein (InterPro:IPR004480)%3B BEST Arabidopsis thaliana protein match is: Thioredoxin superfamily protein (TAIR:AT4G32580.1)%3B Has 26535 Blast hits to 17137 proteins in 2757 species: Archae - 249%3B Bacteria - 14010%3B Metazoa - 1647%3B Fungi - 1426%3B Plants - 1759%3B Viruses - 3%3B Other Eukaryotes - 7441 (source: NCBI BLink).","""PMID:16547123,PMID:16720602,PMID:17031546,PMID:18650403,PMID:21515673,PMID:22762155,PMID:24203231,PMID:25699589,locus:2135363""","protein_coding","Encodes a monothiol glutaredoxin that is a critical component involved in ROS accumulation%2C auxin signaling%2C and temperature-dependent postembryonic growth in plants.","-","-","data"
"Os11t0197600-01","Os11g0197600","Transcriptional factor B3 family protein.","-","-","-","-","-","-","Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: DNA binding (GO:0003677)","Transcriptional factor B3 (IPR003340), DNA-binding pseudobarrel domain (IPR015300)","AK067571 (DDBJ, Best hit), AK101941 (DDBJ, Best hit)","Q2R9D2 (UniProt)","-","-","J013108N22, J033074I03","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","data"
"Os11t0216400-01","Os11g0216400","Peptidase S8, subtilisin-related domain containing protein.","-","-","-","-","-","-","-","Peptidase S8, subtilisin-related (IPR015500)","AK287882 (DDBJ, Best hit)","B6SJX7 (UniProt)","-","-","J065207I10","-","AT5G44780.1","2","protein_coding","NULL","NULL","unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G20020.2)","MORF4","high molecular weight subunit-like glutenin","MORF4","-","multiple organellar RNA editing factor 4","unknown protein%3B BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G20020.2)%3B Has 9661 Blast hits to 6233 proteins in 635 species: Archae - 4%3B Bacteria - 1116%3B Metazoa - 4251%3B Fungi - 1510%3B Plants - 1359%3B Viruses - 43%3B Other Eukaryotes - 1378 (source: NCBI BLink).","""PMID:14576160,PMID:22411807,PMID:23818871,locus:2156344""","protein_coding","-","-","-","data"
"Os12t0510200-01","Os12g0510200","Conserved hypothetical protein.","-","-","-","-","-","-","-","-","AK318602 (DDBJ, Best hit)","B9GDD4 (UniProt)","-","-","J100068E03","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","data"
"Os12t0514100-01","Os12g0514100","Ribosome associated membrane RAMP4 family protein.","-","-","-","-","-","-","-","Endoplasmic reticulum, stress-associated Ramp4 (IPR010580)","AK121189 (DDBJ, Best hit)","B6TJI4 (UniProt)","-","-","J023085O07","-","AT1G27330.1","2","protein_coding","Ribosome associated membrane protein RAMP4","NULL","Ribosome associated membrane protein RAMP4; CONTAINS InterPro DOMAIN/s: Ribosome associated membrane RAMP4 (InterPro:IPR010580); BEST Arabidopsis thaliana protein match is: Ribosome associated membrane protein RAMP4 (TAIR:AT1G27350.1)","-","Ribosome associated membrane protein RAMP4","-","-","-","Ribosome associated membrane protein RAMP4%3B CONTAINS InterPro DOMAIN/s: Ribosome associated membrane RAMP4 (InterPro:IPR010580)%3B BEST Arabidopsis thaliana protein match is: Ribosome associated membrane protein RAMP4 (TAIR:AT1G27350.1)%3B Has 348 Blast hits to 348 proteins in 106 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 210%3B Fungi - 0%3B Plants - 100%3B Viruses - 0%3B Other Eukaryotes - 38 (source: NCBI BLink).","""PMID:15978049,PMID:16226851,PMID:18230180,PMID:18426585,PMID:18650403,PMID:18614705,PMID:18775970,locus:2015969""","protein_coding","-","-","-","data"
"Os12t0514500-01","Os12g0514500","Similar to Heat-shock protein precursor.","-","-","-","-","-","-","Biological Process: protein folding (GO:0006457), Biological Process: response to stress (GO:0006950), Molecular Function: ATP binding (GO:0005524), Molecular Function: unfolded protein binding (GO:0051082)","Heat shock protein Hsp90 (IPR001404), ATPase-like, ATP-binding domain (IPR003594), Heat shock protein Hsp90, conserved site (IPR019805), Ribosomal protein S5 domain 2-type fold (IPR020568), Heat shock protein Hsp90, N-terminal (IPR020575)","AK069204 (DDBJ, Best hit)","NP_187434.2 (RefSeq)","-","-","J023009C12","-","AT3G07770.3","2","protein_coding","HEAT SHOCK PROTEIN 89.1","NULL","""HEAT SHOCK PROTEIN 89.1 (Hsp89.1); FUNCTIONS IN: ATP binding; INVOLVED IN: protein folding, response to stress; LOCATED IN: mitochondrion, cell wall; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Chaperone protein htpG (InterPro:IPR001404), Heat shock protein Hsp90, C-terminal (InterPro:IPR020576), Heat shock protein Hsp90, conserved site (InterPro:IPR019805), Ribosomal protein S5 domain 2-type fold (InterPro:IPR020568), Heat shock protein Hsp90, N-terminal (InterPro:IPR020575), ATPase-like, ATP-binding domain (InterPro:IPR003594); BEST Arabidopsis thaliana protein match is: Chaperone protein htpG family protein (TAIR:AT2G04030.1)""","""AtHsp90-6,AtHsp90.6,Hsp89.1""","HEAT SHOCK PROTEIN 89.1","Hsp89.1","""AtHsp90-6,HEAT SHOCK PROTEIN 90-6,AtHsp90.6,HEAT SHOCK PROTEIN 90.6""","HEAT SHOCK PROTEIN 89.1","HEAT SHOCK PROTEIN 89.1 (Hsp89.1)%3B FUNCTIONS IN: ATP binding%3B INVOLVED IN: protein folding%2C response to stress%3B LOCATED IN: mitochondrion%2C cell wall%3B EXPRESSED IN: 24 plant structures%3B EXPRESSED DURING: 14 growth stages%3B CONTAINS InterPro DOMAIN/s: Chaperone protein htpG (InterPro:IPR001404)%2C Heat shock protein Hsp90%2C C-terminal (InterPro:IPR020576)%2C Heat shock protein Hsp90%2C conserved site (InterPro:IPR019805)%2C Ribosomal protein S5 domain 2-type fold (InterPro:IPR020568)%2C Heat shock protein Hsp90%2C N-terminal (InterPro:IPR020575)%2C ATPase-like%2C ATP-binding domain (InterPro:IPR003594)%3B BEST Arabidopsis thaliana protein match is: Chaperone protein htpG family protein (TAIR:AT2G04030.1)%3B Has 8883 Blast hits to 8831 proteins in 2450 species: Archae - 4%3B Bacteria - 3390%3B Metazoa - 2079%3B Fungi - 316%3B Plants - 459%3B Viruses - 0%3B Other Eukaryotes - 2635 (source: NCBI BLink).","""PMID:11743115,PMID:14671022,PMID:15047901,PMID:15695462,PMID:16621846,PMID:11599565,PMID:20493581,locus:2077352""","protein_coding","-","-","-","data"
